Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Information,Note
CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"100 NE ADAMS ST, PEORIA, IL, US",December,30-09-2023,1.29689E+11,15738000000,14.45,1.526,40.25,5,0.0204,17.63,129.53,0.137,0.204,0.102,0.504,66587001000,15565000000,17.63,0.408,0.121,262.86,14.45,12.52,1.963,6.38,2.422,11.08,1.077,292.37,201.99,254.05,245.98,509085000,20-11-2023,20-10-2023,,
FDX,Common Stock,FedEx Corporation,"FedEx Corporation, formerly Federal Express Corporation and later FDX Corporation, is an American multinational delivery services company headquartered in Memphis, Tennessee.",1048911,NYSE,USD,USA,ENERGY & TRANSPORTATION,AIR COURIER SERVICES,"942 SOUTH SHADY GROVE ROAD, MEMPHIS, TN, US",May,31-08-2023,66198884000,10949000000,16.06,1.099,105.54,4.82,0.019,16.39,351.56,0.0471,0.0764,0.0485,0.162,88593998000,24396000000,16.39,-0.133,0.139,295.07,16.06,14.71,0.757,2.506,1.102,9.18,1.334,270.46,160.01,251.23,240.58,251420000,02-01-2024,08-12-2023,,
MMM,Common Stock,3M Company,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",December,30-09-2023,57131672000,7786000000,None,3.666,8.46,5.99,0.058,-13.31,59.19,-0.226,0.209,0.0767,-0.782,32747000000,15000000000,-13.31,-0.221,-0.036,113.69,-,10.42,1.684,11.8,2.038,-8.9,0.985,122.61,84.03,92.21,100.48,552317000,12-12-2023,16-11-2023,,
DOW,Common Stock,Dow Inc,"Dow Inc. is an American commodity chemical company. The company is headquartered in Midland, Michigan.",1751788,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","2211 H.H. DOW WAY, MIDLAND, MI, US",December,30-09-2023,35827360000,5428000000,27.76,4.664,27.9,2.8,0.0537,1.84,64.85,0.0285,0.0538,0.0308,0.0724,45860000000,8564000000,1.84,-0.588,-0.24,54.5,27.76,13.85,0.801,1.875,1.087,9.58,1.308,57.74,46.25,50.23,52.85,701397000,08-12-2023,29-11-2023,,
ECL,Common Stock,Ecolab Inc,"Ecolab Inc., headquartered in St. Paul, Minnesota, is an American corporation that develops and offers services, technology and systems that specialize in water treatment, purification, cleaning and hygiene in a wide variety of applications. It helps organizations both private market as well as public treat their water, not only for drinking directly, but also for use in food, healthcare, hospitality related safety and industry.",31462,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","1 ECOLAB PLACE, SAINT PAUL, MN, US",December,30-09-2023,54587204000,2994100000,44.42,2.129,23.46,2.12,0.0111,4.31,52.85,0.0818,0.147,0.0602,0.168,15053000000,5426700000,4.31,0.065,0.178,196.55,44.42,31.95,3.644,7.04,4.186,22.53,1.071,193.72,138.83,173.1,173.6,285140000,16-10-2023,18-09-2023,,
EXP,Common Stock,Eagle Materials Inc,"Eagle Materials Inc., produces and supplies heavy construction materials, lightweight construction materials and materials used for the extraction of oil and natural gas in the United States. The company is headquartered in Dallas, Texas.",918646,NYSE,USD,USA,MANUFACTURING,"CEMENT, HYDRAULIC","5960 BERKSHIRE LANE, SUITE 900, DALLAS, TX, US",March,30-09-2023,6464194000,766295000,13.56,2.51,37.3,1,0.0054,13.66,61.95,0.222,0.309,0.136,0.397,2205371000,519614000,13.66,0.145,0.028,198.55,13.56,12.52,2.929,4.943,3.415,9.3,1.369,195.68,128.63,166.97,165.26,34886900,12-01-2024,14-12-2023,,
NUE,Common Stock,Nucor Corp,"Nucor Corporation is a producer of steel and related products based in Charlotte, North Carolina.",73309,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","1915 REXFORD RD, CHARLOTTE, NC, US",December,30-09-2023,41153450000,8010364000,8.47,0.75,83.25,2.04,0.0122,19.77,141.84,0.14,0.175,0.128,0.266,35732926000,12526946000,19.77,-0.298,-0.164,158.75,8.47,14.39,1.164,2.047,1.171,5.25,1.653,180.89,127.71,153.72,155.78,245839000,09-11-2023,28-09-2023,,
DD,Common Stock,Dupont De Nemours Inc,"DuPont de Nemours, Inc., commonly known as DuPont, is an American company formed by the merger of Dow Chemical and E. I. du Pont de Nemours and Company on August 31, 2017, and the subsequent spinoffs of Dow Inc. and Corteva. Prior to the spinoffs it was the world's largest chemical company in terms of sales.",1666700,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","974 CENTRE ROAD, BUILDING 730, WILMINGTON, DE, US",December,30-09-2023,30859813000,2898000000,36.43,1.638,56.26,1.41,0.0201,1.97,26.59,0.381,0.15,0.0266,0.0374,12274000000,4615000000,1.97,-0.039,-0.078,91.78,36.43,18.05,2.537,1.287,3.088,13.06,1.14,78.26,61.87,72.21,71.69,430042000,15-12-2023,29-11-2023,,
AMT,Common Stock,American Tower Corp,"American Tower Corporation (also referred to as American Tower or ATC) is an American real estate investment trust and an owner and operator of wireless and broadcast communications infrastructure in several countries worldwide and is headquartered in Boston, Massachusetts.",1053507,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"116 HUNTINGTON AVE, BOSTON, MA, US",December,30-09-2023,97302618000,6689000000,141.03,2.578,9.72,6.31,0.0308,1.48,23.74,0.0646,0.349,0.0336,0.0541,11062500000,7447300000,1.48,-0.301,0.055,209.94,141.03,43.1,8.87,21.64,12.91,27.39,0.683,229.57,153.01,177.32,188.36,466165000,27-10-2023,10-10-2023,,
SPG,Common Stock,Simon Property Group Inc,"Simon Property Group, Inc. is a real estate investment trust that invests in shopping malls, outlet centers, and community/lifestyle centers. It is the largest owner of shopping malls in the United States and is headquartered in Indianapolis, Indiana.",1063761,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"225 WEST WASHINGTON STREET, INDIANAPOLIS, IN, US",December,30-09-2023,49092305000,3990634000,19.41,12.82,8.92,7.35,0.0581,6.74,16.91,0.399,0.492,0.0513,0.662,5531295000,4290493000,6.74,0.103,0.072,130.47,19.41,22.08,8.74,14.43,12.06,13.94,1.609,131.02,96.91,112.49,113.24,326239000,29-12-2023,07-12-2023,,
PLD,Common Stock,Prologis Inc,"Prologis, Inc. is a real estate investment trust headquartered in San Francisco, California that invests in logistics facilities, with a focus on the consumption side of the global supply chain.",1045609,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"PIER 1 BAY 1, SAN FRANCISCO, CA, US",December,30-09-2023,1.11181E+11,5789584000,38.32,4.191,57.98,3.4,0.0289,3.14,8.85,0.369,0.37,0.0272,0.0653,8172991000,4775470000,3.14,-0.409,0.082,133.81,38.32,47.39,13.37,2.04,17.27,21.32,1.051,133.77,96.64,107.77,119,923971000,29-09-2023,15-09-2023,,
LEN,Common Stock,Lennar Corporation,"Lennar Corporation is a home construction and real estate company based in Fontainebleau, Florida.",920760,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,"700 NW 107TH AVENUE, SUITE 400, MIAMI, FL, US",November,31-08-2023,36999807000,5520506000,9.76,2.826,90.23,1.5,0.0114,13.48,117.21,0.117,0.176,0.0929,0.161,33439549000,7202144000,13.48,-0.231,-0.023,138.06,9.76,9.98,1.107,1.458,1.118,6.79,1.511,132.8,85.21,115.52,114.08,250152000,26-10-2023,11-10-2023,,
EQR,Common Stock,Equity Residential,Equity Residential is a publicly traded real estate investment trust that invests in apartments.,906107,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"EQUITY RESIDENTIAL, TWO NORTH RIVERSIDE PLAZA, SUITE 400, CHICAGO, IL, US",December,30-09-2023,22286060000,1759627000,33.73,2.76,29.03,2.613,0.0453,1.74,7.52,0.24,0.311,0.0274,0.0614,2846167000,1752599000,1.74,-0.471,0.042,64.31,33.73,36.36,7.81,2.016,10.55,13.47,0.856,68.68,52.57,57.06,61.58,379725000,13-10-2023,25-09-2023,,
